utility,month,arrears_c,arrears_d
Orange & Rockland,2020-11,19261,19666828
Orange & Rockland,2020-12,19033,19887783
KEDLI,2020-12,53330,34644871
Niagara Mohawk Power Corp,2020-12,265502,305808528
NYSEG,2020-12,89856,43299696
National Fuel,2020-12,60080,35876033
Con Edison,2020-12,383728,526145562
KEDNY,2020-12,192500,112841886
Central Hudson,2020-12,23522,14525747
RG&E,2020-12,57236,47279540
RG&E,2021-01,60093,47832552
NYSEG,2021-01,93647,43525076
Orange & Rockland,2021-01,18117,19961611
National Fuel,2021-01,58372,37452328
KEDNY,2021-01,179565,114355825
Central Hudson,2021-01,22920,14585671
KEDLI,2021-01,49008,34779483
Niagara Mohawk Power Corp,2021-01,253350,307463721
Con Edison,2021-01,394341,551761966
Central Hudson,2021-02,23172,15359618
National Fuel,2021-02,57356,38316171
Orange & Rockland,2021-02,18470,21116688
RG&E,2021-02,67707,45955600
Con Edison,2021-02,387487,579228186
KEDLI,2021-02,49069,37539238
KEDNY,2021-02,180805,122544530
NYSEG,2021-02,105780,39931400
Niagara Mohawk Power Corp,2021-02,254728,320304500
NYSEG,2021-03,99553,41276556
KEDNY,2021-03,186485,136191835
Orange & Rockland,2021-03,17481,21071492
Con Edison,2021-03,385964,602608151
National Fuel,2021-03,56139,40115632
Niagara Mohawk Power Corp,2021-03,243215,335316650
Central Hudson,2021-03,22629,15832315
KEDLI,2021-03,50426,41763886
RG&E,2021-03,63432,47344804
KEDNY,2021-04,188555,146751213
Con Edison,2021-04,382696,614741350
Orange & Rockland,2021-04,18031,22210540
Niagara Mohawk Power Corp,2021-04,244391,349872165
National Fuel,2021-04,56892,42035588
KEDLI,2021-04,51787,45974000
Central Hudson,2021-04,22489,16389605
RG&E,2021-04,63425,50631520.54
NYSEG,2021-04,101248,45037099.23
KEDLI,2021-05,52535,51011616
National Fuel,2021-05,61174,43992888
Orange & Rockland,2021-05,18567,23237130
KEDNY,2021-05,193439,157347428
RG&E,2021-05,63908,54180782.45
Con Edison,2021-05,384049,629745035
NYSEG,2021-05,103284,48551272.53
Central Hudson,2021-05,23824,17687652
Niagara Mohawk Power Corp,2021-05,252401,364842501
KEDNY,2021-06,205120,167692884
Niagara Mohawk Power Corp,2021-06,253535,380817544
Central Hudson,2021-06,25053,18785408
KEDLI,2021-06,54741,56791119
RG&E,2021-06,63769,56262007
Orange & Rockland,2021-06,18078,23512560
National Fuel,2021-06,101978,51380304
Con Edison,2021-06,395467,651596842
NYSEG,2021-06,101978,51380304
RG&E,2021-07,65183,58402960.51
NYSEG,2021-07,103794,54559897.54
KEDNY,2021-07,204094,170226957
Orange & Rockland,2021-07,17116,23486360
Con Edison,2021-07,398731,722662082
National Fuel,2021-07,63678,45861973
Central Hudson,2021-07,25562,19316863
Niagara Mohawk Power Corp,2021-07,238812,378990304
KEDLI,2021-07,54719,56417519
KEDLI,2021-08,55996,54993331
Niagara Mohawk Power Corp,2021-08,233703,380305879
Central Hudson,2021-08,26124,19939865
NYSEG,2021-08,104052,57104955.45
RG&E,2021-08,65297,60279449.61
KEDNY,2021-08,207581,172099665
Con Edison,2021-08,390365,712982971
National Fuel,2021-08,64972,46010454
Orange & Rockland,2021-08,17265,23700866
Con Edison,2021-09,408113,767862747.8
KEDNY,2021-09,208795,171258885
RG&E,2021-09,63912,61670666.66
NYSEG,2021-09,100250,58669744.14
Niagara Mohawk Power Corp,2021-09,237622,387128973
Central Hudson,2021-09,33395,22291094.64
KEDLI,2021-09,54002,52297911
National Fuel,2021-09,65342,45619315
Orange & Rockland,2021-09,17424,24282461
Central Hudson,2021-10,44218,19981674
KEDLI,2021-10,48350,49272038
RG&E,2021-10,65011,62844131.49
NYSEG,2021-10,100008,56197639.22
KEDNY,2021-10,212059,170966748
Niagara Mohawk Power Corp,2021-10,239320,383413226
Con Edison,2021-10,408113,767862748
Orange & Rockland,2021-10,19336,25600494.29
National Fuel,2021-10,65617,43600833
Con Edison,2021-11,412351,784006103.2
Central Hudson,2021-11,46637,21704996
Niagara Mohawk Power Corp,2021-11,238070,383416652
RG&E,2021-11,61198,60237899.32
KEDNY,2021-11,213744,168499168
National Fuel,2021-11,56482,39067876
NYSEG,2021-11,97586,54542185.31
KEDLI,2021-11,47519,48051816
PSEGLINY,2021-11,117958,154506502.7
Orange & Rockland,2021-11,17912,23547575.04
Niagara Mohawk Power Corp,2021-12,230784,364907755
PSEGLINY,2021-12,119247,151937618.5
RG&E,2021-12,60314,59433067.53
Con Edison,2021-12,419309,802076518.5
KEDLI,2021-12,46517,47666983
Central Hudson,2021-12,48228,24764448
KEDNY,2021-12,192477,164325922
National Fuel,2021-12,55833,38658788
NYSEG,2021-12,99677,55877998.4
Orange & Rockland,2021-12,17606,23248294.62
NYSEG,2022-01,108505,51561923
RG&E,2022-01,66737,56486844
Central Hudson,2022-01,45763,29394286
Con Edison,2022-01,411694,819224603.5
Niagara Mohawk Power Corp,2022-01,226507,352007879
PSEGLINY,2022-01,119825,154977495.9
National Fuel,2022-01,54830,39781468
KEDNY,2022-01,186173,166734278
KEDLI,2022-01,43037,47285520
Orange & Rockland,2022-01,17333,22811576.56
NYSEG,2022-02,98438,53740610.72
KEDLI,2022-02,42614,49360324
RG&E,2022-02,62290,56408150.63
Con Edison,2022-02,403045,840159546.4
Niagara Mohawk Power Corp,2022-02,226701,355517787
KEDNY,2022-02,185448,174322682
Central Hudson,2022-02,46551,29563194.85
National Fuel,2022-02,54709,41104603
Orange & Rockland,2022-02,17192,23115387.89
PSEGLINY,2022-02,118282,153488871
KEDLI,2022-03,47074,54278816
RG&E,2022-03,60117,57381360.76
Central Hudson,2022-03,45648,33152308
KEDNY,2022-03,189825,187104027
NYSEG,2022-03,94300,56869039.45
National Fuel,2022-03,55541,42409655
Niagara Mohawk Power Corp,2022-03,223717,362344985
Con Edison,2022-03,392587,848737009.9
Orange & Rockland,2022-03,17856,23543443.55
PSEGLINY,2022-03,111101,150451954
National Fuel,2022-04,59292,45530088
Central Hudson,2022-04,52616,42150254.51
Niagara Mohawk Power Corp,2022-04,233667,369623477
KEDNY,2022-04,192024,200068462
KEDLI,2022-04,52206,62335608
Con Edison,2022-04,386372,829424771.8
